intent,category,description,when_to_use,canonical_action,required_entities,optional_entities,notes
U_TP_HIT,EXIT_EVENT,Segnala che uno o più take profit sono stati raggiunti.,"Quando il trader comunica TP hit, first target hit, take profit reached, ecc.",ACT_MARK_TP_HIT,symbol,hit_tp_index; hit_tp_price; hit_tp_label; partial_close_percent; linked_signal_id; source_message_id; confidence,Assorbe anche il vecchio U_TP_HIT_EXPLICIT.
U_STOP_HIT,EXIT_EVENT,Segnala che lo stop loss è stato colpito.,"Quando il trader indica stop hit, sl taken, posizione chiusa in stop.",ACT_MARK_STOP_HIT_AND_CLOSE,symbol,stop_price; realized_result; linked_signal_id; source_message_id; confidence,Normalmente implica chiusura posizione.
U_CLOSE_PARTIAL,EXIT_ACTION,Richiede o riporta chiusura parziale della posizione.,Quando il trader chiude una parte della size o invita a farlo.,ACT_CLOSE_PARTIAL,symbol,close_percent; close_size; close_price; reason; linked_signal_id; source_message_id; confidence,Può coesistere con TP hit o con report parziali.
U_CLOSE_FULL,EXIT_ACTION,Richiede o riporta chiusura totale della posizione.,"Quando il trader dice close all, chiudiamo tutto, fix all, exit all.",ACT_CLOSE_FULL_AND_MARK_CLOSED,symbol,close_price; reason; realized_result; linked_signal_id; source_message_id; confidence,Da tenere distinto da U_STOP_HIT e U_EXIT_BE.
U_EXIT_BE,EXIT_ACTION,Uscita a breakeven o near breakeven.,"Quando il trader specifica chiusura in pari, flat, 0R, BE.",ACT_MARK_POSITION_CLOSED_AT_BE,symbol,exit_price; realized_result; linked_signal_id; source_message_id; confidence,Semantica diversa da close full generico perché conserva il motivo/risultato.
U_MANUAL_CLOSE,EXIT_ACTION,Chiusura discrezionale/non standard non riconducibile chiaramente a TP/SL/BE.,Quando il trader chiude per scelta manuale o contesto operativo senza regola strutturata.,ACT_MANUAL_CLOSE_OR_REVIEW,symbol,close_price; reason; realized_result; linked_signal_id; source_message_id; confidence,Può richiedere review manuale se il testo è ambiguo.
U_INVALIDATE_SETUP,STATE,Invalida il setup prima dell'attivazione o ne dichiara la non validità.,"Quando il trader dice setup invalid, no entry, ignore signal, non più valido.",ACT_MARK_SIGNAL_INVALID,symbol,reason; invalidation_level; linked_signal_id; source_message_id; confidence,Di solito riguarda setup non più eseguibili.
U_REPORT_FINAL_RESULT,STATE,Riporta il risultato finale della trade o di un gruppo di trade.,"Quando il trader pubblica PnL finale, R multiple finale o riepilogo conclusivo.",ACT_ATTACH_RESULT,symbol,realized_result; result_unit; result_percent; result_r; close_reason; linked_signal_id; source_message_id; confidence,Può arrivare anche dopo chiusura già nota. Serve soprattutto per audit/statistica.
U_REENTER,STATE,Rientro sulla stessa idea operativa dopo precedente uscita o stop.,"Quando il trader dichiara re-entry, re-enter, nuova entrata sullo stesso ticker dopo chiusura precedente.",ACT_REENTER_POSITION,symbol,entries[]; stop_loss; take_profits[]; linked_previous_signal_id; source_message_id; confidence,"Può essere trattato come nuovo segnale collegato oppure come update, ma il vocabolario lo conserva distinto."
U_REVERSE_SIGNAL,STATE,"Reverse della view operativa, da long a short o viceversa.",Quando il trader capovolge il bias sullo stesso asset.,ACT_REVERSE_SIGNAL_OR_CREATE_OPPOSITE,symbol; new_side,old_side; entries[]; stop_loss; take_profits[]; linked_signal_id; source_message_id; confidence,Spesso nella pratica equivale a chiudere il vecchio setup e aprirne uno opposto.
U_RISK_NOTE,RISK,Nota di gestione rischio o istruzione non completamente strutturata.,"Quando il trader dà indicazioni tipo ridurre rischio, attenzione, usare size piccola, monitorare.",ACT_ATTACH_RISK_NOTE,symbol,risk_text; suggested_risk_percent; position_size_hint; linked_signal_id; source_message_id; confidence,Non sempre automatizzabile. Utile da salvare come metadato operativo.
